"ID","Last Name","First Name","Grade Level","Enrollment Year","Graduation Year","Courses as a List","Course Grades as a List","Future Decision","SAT","ACT","Counselor Name"
"103787","Kim","Steven","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Oral Interpretation III""]","[92, 75, 90, 84, 82, 86]","2 year college","1205","","Daniel Kim"
"103788","Jones","Oliver","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""American Sign Language II"", ""Technical Theater III""]","[83, 85, 81, 81, 87, 87, 83]","4 year college","1108","23","Melissa Johnson"
"103789","Wilson","Ethan","12","2023","2027","[""English IV"", ""Statistics"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Theater Arts III"", ""PE Track-Boys"", ""Principles of Health Science""]","[87, 74, 81, 74, 83, 88, 73, 80]","4 year college","1153","","Robert Nguyen"
"103790","Watanabe","Hana","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Choir I"", ""Debate I"", ""Photojournalism (sem)"", ""Drawing I""]","[91, 91, 88, 85, 72, 87, 87, 92]","workforce","1280","","Emily Garcia"
"103791","Garcia","Lucia","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Principles of Health Science"", ""Financial Mathematics (Math credit)"", ""Foundations of Business Communication and Technologies""]","[80, 76, 84, 86, 76, 85, 90]","4 year college","1207","","Michael Thompson"
"103792","King","Naomi","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""French III KAP"", ""PE Track-Boys"", ""AP Business with Personal Finance"", ""Choir II""]","[82, 76, 85, 76, 72, 73, 81, 87]","4 year college","1056","","Sarah Martinez"
"103793","Williams","Amelia","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Journalism""]","[77, 81, 91, 79, 95, 91]","4 year college","1142","","James Walker"
"103794","Wilson","Sophia","12","2023","2027","[""AP English IV Literature & Composition GT"", ""AP Calculus BC/GT"", ""AP Environmental Science GT"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""Chinese I""]","[96, 95, 87, 87, 92, 88]","4 year college","1417","","Priya Patel"
"103795","Thompson","Imani","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""French III KAP"", ""Spanish III"", ""Foundations of Business Communication and Technologies"", ""Engineering Design & Presentation I""]","[82, 82, 90, 90, 83, 93, 97, 94]","4 year college","1136","24","Daniel Kim"
"103796","Sanchez","Lucia","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""AP Computer Science A (Math & LOTE credit)"", ""Architectural Design I""]","[87, 96, 86, 97, 100, 93, 96]","4 year college","","36","Melissa Johnson"
"103797","Carter","Layla","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Diving"", ""Social Media Marketing (sem)""]","[86, 78, 83, 78, 85, 88, 85]","4 year college","1140","24","Robert Nguyen"
"103798","Khalil","Layla","12","2023","2027","[""English IV"", ""Statistics"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""AP Computer Science Principles (LOTE credit)""]","[82, 90, 73, 76, 84, 69]","2 year college","","21","Emily Garcia"
"103799","Smith","Isabella","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Track-Boys"", ""AP Business with Personal Finance"", ""PE Golf (Boys/Girls)""]","[78, 89, 92, 82, 77, 77, 68, 85]","vocational school","1060","26","Michael Thompson"
"103800","Kobayashi","Mina","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""Principles of Agriculture, Food, and Natural Resources"", ""PE Volleyball-Girls"", ""Interpersonal Studies (sem .5 credit)""]","[60, 74, 67, 77, 78, 68, 68]","4 year college","806","","Sarah Martinez"
"103801","Reed","Casey","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""AP Computer Science Principles (LOTE credit)"", ""Painting I"", ""Financial Mathematics (Math credit)"", ""Jazz Band I""]","[91, 82, 84, 91, 94, 95, 82, 93]","4 year college","","","James Walker"
"103802","Agarwal","Pooja","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""Dollars and Sense (sem .5 credit)"", ""Technical Theater IV"", ""AP Computer Science A (Math & LOTE credit)"", ""Interpersonal Studies (sem .5 credit)""]","[70, 90, 73, 78, 79, 87, 72, 87]","2 year college","","16","Priya Patel"
"103803","Ramirez","Lucia","12","2023","2027","[""English IV"", ""Accounting II"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Medical Terminology""]","[79, 73, 62, 71, 81, 62]","workforce","","","Daniel Kim"
"103804","Hamid","Tariq","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Oral Interpretation II"", ""Social Media Marketing (sem)"", ""Oral Interpretation I""]","[90, 73, 72, 77, 73, 88, 91, 75]","4 year college","","22","Melissa Johnson"
"103805","Chen","Jia","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Oral Interpretation I"", ""Chinese III KAP"", ""American Sign Language I""]","[77, 84, 80, 92, 94, 83, 87]","4 year college","1322","26","Robert Nguyen"
"103806","Park","David","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""French III KAP"", ""Debate III"", ""AP Computer Science Principles (LOTE credit)"", ""Spanish III KAP""]","[93, 85, 90, 96, 86, 93, 87, 93]","4 year college","1368","","Emily Garcia"
"103807","Jones","Sophia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Dance I"", ""Chinese I"", ""PE Soccer-Boys""]","[74, 76, 90, 78, 81, 73, 80, 86]","4 year college","","","Michael Thompson"
"103808","Hassan","Adam","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Volleyball-Girls""]","[72, 91, 84, 92, 78, 74]","4 year college","1265","31","Sarah Martinez"
"103809","Williams","Jordan","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Lifetime Fitness & Wellness Pursuits (Boys)"", ""Principles of Health Science""]","[90, 88, 84, 86, 89, 72, 72]","workforce","","","James Walker"
"103810","Perez","Valentina","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Band IV"", ""Lifetime Nutrition & Wellness (sem .5 credit)"", ""Medical Terminology""]","[90, 92, 78, 91, 73, 75, 83]","workforce","931","","Priya Patel"
"103811","Yamamoto","Soo-Jin","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Biology"", ""AP US History-11th grade only"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Financial Mathematics (Math credit)"", ""Debate II"", ""Engineering Design & Presentation I""]","[78, 79, 91, 80, 83, 89, 92, 97]","4 year college","1398","","Daniel Kim"
"103812","Ortiz","Daniela","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Social Media Marketing (sem)""]","[79, 90, 83, 91, 87, 82]","4 year college","1435","31","Melissa Johnson"
"103813","Jackson","William","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Principles of Business, Marketing, & Finance""]","[86, 74, 72, 81, 79, 80]","4 year college","953","","Robert Nguyen"
"103814","Gomez","Sebastian","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""Interpersonal Studies (sem .5 credit)"", ""Jazz Band III"", ""Debate II"", ""Lifetime Nutrition & Wellness (sem .5 credit)""]","[88, 76, 81, 80, 89, 75, 82, 85]","vocational school","","","Emily Garcia"
"103815","Green","Malik","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Chinese I"", ""French II"", ""American Sign Language I"", ""Social Media Marketing (sem)""]","[79, 91, 84, 84, 82, 85, 88, 97]","4 year college","1158","21","Michael Thompson"
"103816","Yamamoto","David","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""Interior Design I"", ""Peer Assistance Leadership I (application required)""]","[87, 95, 96, 88, 98, 92]","4 year college","1499","31","Sarah Martinez"
"103817","Yamamoto","David","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Chinese III KAP""]","[74, 88, 90, 79, 79, 71]","vocational school","1254","28","James Walker"
"103818","Cruz","Daniela","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Precalculus GT"", ""AP Physics I GT"", ""AP US History GT-11th grade only"", ""AP Research"", ""Photojournalism (sem)""]","[91, 83, 90, 89, 86, 91]","4 year college","1547","","Priya Patel"
"103819","Jung","Lin","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""AP Business with Personal Finance"", ""Chinese I"", ""Debate II""]","[76, 90, 91, 88, 84, 84, 72]","vocational school","1185","18","Daniel Kim"
"103820","Murphy","Sam","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Foundations of Business Communication and Technologies""]","[90, 86, 75, 79, 86, 92]","workforce","","25","Melissa Johnson"
"103821","Thompson","Kenya","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Agricultural Mechanics and Metal Technologies"", ""Computer Science - Unity Game Development KAP"", ""Counseling & Mental Health""]","[69, 86, 77, 85, 75, 72, 79, 80]","2 year college","1005","","Robert Nguyen"
"103822","Li","Hiro","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Architectural Design II"", ""Sports & Entertainment Marketing I (sem)""]","[85, 83, 85, 86, 96, 91, 95]","4 year college","1206","","Emily Garcia"
"103823","Mansour","Khalid","11","2024","2028","[""English III"", ""Statistics"", ""Aquatic Science"", ""US History-11th grade"", ""Human Growth & Development"", ""Principles of Health Science""]","[75, 73, 90, 90, 89, 84]","4 year college","1254","29","Michael Thompson"
"103824","King","Zoe","11","2024","2028","[""English III"", ""Statistics"", ""Aquatic Science"", ""US History-11th grade"", ""Social Media Marketing (sem)"", ""Journalism"", ""Orchestra IV""]","[90, 88, 73, 91, 85, 82, 82]","4 year college","1066","","Sarah Martinez"
"103825","Huang","Eric","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Spanish I"", ""Social Media Marketing (sem)""]","[91, 75, 92, 88, 89, 79, 85]","2 year college","","","James Walker"
"103826","Green","Layla","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Financial Mathematics (Math credit)"", ""Sports & Entertainment Marketing II (sem)"", ""French III KAP""]","[76, 86, 92, 89, 74, 73, 89, 79]","vocational school","","","Priya Patel"
"103827","Rodriguez","Mateo","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Fashion Design I"", ""PE Soccer-Boys""]","[69, 61, 68, 81, 64, 64, 63]","vocational school","","19","Daniel Kim"
"103828","Walker","Marcus","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""PE Softball-Girls"", ""Spanish I"", ""Health Science Theory""]","[78, 85, 73, 79, 75, 85, 83]","4 year college","","21","Melissa Johnson"
"103829","Wilson","Benjamin","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Photojournalism (sem)""]","[87, 92, 86, 74, 88, 89]","4 year college","1153","","Robert Nguyen"
"103830","Saleh","Zara","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Dollars and Sense (sem .5 credit)""]","[79, 75, 91, 75, 90, 86]","4 year college","1132","21","Emily Garcia"
"103831","Torres","Jesse","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Debate III"", ""Audio/Video Production I""]","[83, 84, 88, 88, 92, 89]","2 year college","1383","30","Michael Thompson"
"103832","Watanabe","Brian","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Choir IV"", ""Jazz Band II"", ""Orchestra III""]","[70, 73, 57, 72, 58, 56, 73, 73]","4 year college","1001","18","Sarah Martinez"
"103833","Pillai","Shreya","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Statistics GT"", ""AP Chemistry GT"", ""AP US History GT-11th grade only"", ""Theater Arts III"", ""AP Research"", ""Audio/Video Production I"", ""Technical Theater I""]","[91, 91, 93, 90, 98, 83, 97, 88]","4 year college","1443","","James Walker"
"103834","Young","Malik","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Computer Science I (LOTE credit)""]","[79, 82, 82, 91, 76, 89]","4 year college","1237","29","Priya Patel"
"103835","Wilson","Amelia","11","2024","2028","[""English III"", ""Statistics"", ""Environmental Systems"", ""US History-11th grade"", ""American Sign Language II"", ""AP Art History"", ""Dollars and Sense (sem .5 credit)""]","[83, 85, 82, 84, 82, 81, 80]","4 year college","1274","","Daniel Kim"
"103836","Verma","Pooja","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Debate II"", ""Financial Mathematics (Math credit)""]","[74, 86, 73, 84, 92, 81, 90]","4 year college","1253","26","Melissa Johnson"
"103837","Gupta","Divya","11","2024","2028","[""English III"", ""Statistics"", ""Environmental Systems"", ""US History-11th grade"", ""Sports & Entertainment Marketing I (sem)"", ""Medical Terminology"", ""Dance I"", ""Small Animal Management (sem .5 credit)""]","[71, 90, 72, 80, 81, 75, 78, 68]","vocational school","1114","","Robert Nguyen"
"103838","Clark","Benjamin","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""AP Spanish IV Language and Culture"", ""French II""]","[83, 85, 77, 87, 71, 75]","4 year college","","","Emily Garcia"
"103839","Gomez","Sofia","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Spanish III""]","[81, 83, 81, 88, 84, 86]","4 year college","1429","34","Michael Thompson"
"103840","Cruz","Daniela","11","2024","2028","[""English III"", ""Statistics"", ""Environmental Systems"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""PE Soccer-Boys"", ""Social Media Marketing (sem)"", ""Band I""]","[78, 82, 83, 77, 92, 90, 86, 73]","4 year college","1089","","Sarah Martinez"
"103841","Sanchez","Mateo","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Jazz Band IV"", ""Spanish III KAP"", ""Sports & Entertainment Marketing II (sem)""]","[79, 79, 84, 83, 89, 91, 78, 86]","4 year college","1040","19","James Walker"
"103842","Reddy","Arjun","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""AP Chinese IV Language and Culture"", ""Professional Communications (sem)""]","[83, 89, 87, 74, 69, 87]","2 year college","","18","Priya Patel"
"103843","Kumar","Shreya","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Oral Interpretation II"", ""Band II"", ""Audio/Video Production II""]","[95, 83, 86, 85, 92, 90, 86, 82]","2 year college","1389","31","Daniel Kim"
"103844","Rivera","Casey","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Professional Communications (sem)"", ""Lifetime Nutrition & Wellness (sem .5 credit)"", ""Jazz Band II"", ""French I""]","[92, 85, 77, 90, 78, 89, 76, 88]","4 year college","1148","25","Melissa Johnson"
"103845","Garcia","Diego","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Principles of Health Science"", ""Social Media Marketing (sem)"", ""Floral Design (Fine Art Credit)""]","[80, 75, 68, 76, 68, 82, 77, 71]","2 year college","1126","24","Robert Nguyen"
"103846","Davis","Lucas","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Oral Interpretation II"", ""Animation I""]","[81, 91, 76, 97, 90, 83]","4 year college","","","Emily Garcia"
"103847","Diaz","Sofia","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Advanced Animal Science (Science credit)"", ""Audio/Video Production II"", ""Small Animal Management (sem .5 credit)"", ""Engineering Design & Presentation I""]","[68, 81, 86, 71, 72, 73, 71, 85]","4 year college","879","","Michael Thompson"
"103848","Garcia","Camila","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Debate I""]","[76, 69, 61, 75, 60, 62]","4 year college","","","Sarah Martinez"
"103849","Suzuki","Brian","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Debate II"", ""Sports & Entertainment Marketing II (sem)"", ""Engineering Design & Problem Solving (Science credit)"", ""Theater Arts IV""]","[86, 88, 90, 81, 96, 92, 88, 95]","4 year college","1383","","James Walker"
"103850","Cooper","Avery","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Health Science Theory"", ""PE Football-Boys"", ""Counseling & Mental Health"", ""Oral Interpretation III""]","[68, 59, 74, 71, 72, 56, 82, 65]","workforce","1007","19","Priya Patel"
"103851","Robinson","Zoe","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Precalculus GT"", ""AP Physics I GT"", ""AP US History GT-11th grade only"", ""Chinese III KAP"", ""Theater Arts II"", ""Debate III""]","[90, 95, 88, 95, 95, 98, 100]","4 year college","1533","36","Daniel Kim"
"103852","Rivera","Drew","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Orchestra IV""]","[56, 62, 61, 67, 65, 65]","2 year college","","15","Melissa Johnson"
"103853","Morales","Mateo","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Interior Design I"", ""Audio/Video Production I""]","[82, 76, 96, 85, 90, 89]","4 year college","1302","","Robert Nguyen"
"103854","Farouk","Dina","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Biology"", ""World History-10th grade only"", ""Entrepreneurship"", ""Technical Theater II"", ""Principles of Health Science""]","[76, 83, 89, 83, 83, 86, 75]","2 year college","898","14","Emily Garcia"
"103855","Pillai","Sanjana","11","2024","2028","[""English III"", ""Statistics"", ""Environmental Systems"", ""US History-11th grade"", ""Dollars and Sense (sem .5 credit)"", ""Sports & Entertainment Marketing I (sem)""]","[88, 84, 81, 76, 88, 74]","4 year college","928","","Michael Thompson"
"103856","Davis","Benjamin","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Small Animal Management (sem .5 credit)"", ""Fashion Design I"", ""Jazz Band I""]","[81, 60, 63, 81, 64, 60, 75]","4 year college","962","18","Sarah Martinez"
"103857","Kobayashi","David","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Principles of Health Science"", ""Agricultural Mechanics and Metal Technologies"", ""Band II"", ""Oral Interpretation III""]","[66, 77, 75, 79, 71, 70, 76, 59]","vocational school","","18","James Walker"
"103858","Williams","Oliver","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Oral Interpretation II"", ""Debate I"", ""AP Chinese IV Language and Culture""]","[80, 74, 78, 91, 87, 81, 79]","4 year college","1038","","Priya Patel"
"103859","Sharma","Nikhil","12","2023","2027","[""English IV"", ""Statistics"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Basketball-Boys""]","[81, 89, 92, 85, 78, 75]","4 year college","954","","Daniel Kim"
"103860","Brooks","Parker","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""AP Computer Science A (Math & LOTE credit)"", ""Audio/Video Production I""]","[82, 92, 85, 92, 88, 93, 100]","4 year college","1362","","Melissa Johnson"
"103861","Rodriguez","Natalia","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""AP Computer Science A (Math & LOTE credit)""]","[92, 94, 94, 85, 95, 83]","4 year college","1387","","Robert Nguyen"
"103862","Krishnan","Ishaan","12","2023","2027","[""English IV"", ""Statistics"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Technical Theater I"", ""Lifetime Fitness & Wellness Pursuits (Girls)"", ""Principles of Business, Marketing, & Finance""]","[89, 87, 88, 74, 87, 86, 73, 91]","workforce","1018","","Emily Garcia"
"103863","Reyes","Gabriela","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""French II"", ""Counseling & Mental Health""]","[81, 81, 79, 77, 81, 72, 88]","4 year college","1044","","Michael Thompson"
"103864","Jung","Steven","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Sports & Entertainment Marketing I (sem)""]","[93, 86, 83, 75, 77, 83]","4 year college","1214","26","Sarah Martinez"
"103865","Jung","Jia","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Sports & Entertainment Marketing II (sem)"", ""Theater Arts IV"", ""AP Business with Personal Finance""]","[81, 82, 78, 83, 87, 94, 93, 91]","2 year college","","","James Walker"
"103866","Brown","Andre","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Oral Interpretation III"", ""Interpersonal Studies (sem .5 credit)""]","[78, 78, 82, 76, 82, 77, 85]","4 year college","","18","Priya Patel"
"103867","Moore","Olivia","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""Fashion Design I"", ""PE Basketball-Girls"", ""Principles of Agriculture, Food, and Natural Resources""]","[61, 69, 66, 59, 79, 68, 63]","4 year college","852","14","Daniel Kim"
"103868","Krishnan","Nisha","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Oral Interpretation II"", ""Leadworthy (sem)""]","[98, 86, 80, 93, 100, 91, 88]","4 year college","1572","","Melissa Johnson"
"103869","Sanchez","Gabriela","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Lifetime Fitness & Wellness Pursuits (Girls)"", ""Professional Communications (sem)"", ""American Sign Language III"", ""Oral Interpretation III""]","[75, 90, 92, 84, 87, 82, 87, 87]","2 year college","1143","","Robert Nguyen"
"103870","Thompson","Aaliyah","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Baseball-Boys"", ""Jazz Band IV"", ""Professional Communications (sem)""]","[62, 80, 67, 72, 69, 62, 68, 63]","4 year college","939","15","Emily Garcia"
"103871","Krishnan","Aryan","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Architectural Design II"", ""Oral Interpretation III""]","[96, 80, 81, 78, 83, 93, 90]","4 year college","","25","Michael Thompson"
"103872","Kapoor","Ananya","12","2023","2027","[""English IV"", ""Statistics"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""AP Business with Personal Finance"", ""PE Baseball-Boys"", ""French I""]","[84, 76, 76, 88, 88, 70, 92, 73]","4 year college","1038","","Sarah Martinez"
"103873","Hamid","Hassan","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""Medical Terminology"", ""American Sign Language I"", ""PE Track-Boys""]","[91, 81, 79, 80, 91, 84, 86]","4 year college","1207","28","James Walker"
"103874","Khalil","Khalid","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Principles of Health Science"", ""PE Volleyball-Girls"", ""PE Softball-Girls""]","[76, 92, 86, 74, 74, 92, 79, 82]","2 year college","1223","32","Priya Patel"
"103875","Thompson","Mia","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Theater Arts I"", ""Dance II""]","[80, 91, 72, 72, 85, 88]","4 year college","","","Daniel Kim"
"103876","Gonzalez","Lucia","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Sports & Entertainment Marketing II (sem)""]","[82, 89, 78, 73, 84, 82]","vocational school","1041","","Melissa Johnson"
"103877","Cruz","Carlos","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Human Growth & Development""]","[74, 89, 85, 82, 87, 76]","4 year college","1140","","Robert Nguyen"
"103878","Harris","William","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Oral Interpretation II"", ""Principles of Health Science"", ""Debate II""]","[84, 92, 85, 79, 90, 73, 83]","4 year college","1098","","Emily Garcia"
"103879","Perez","Carlos","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""Audio/Video Production I"", ""Animation I""]","[88, 86, 85, 82, 98, 88]","4 year college","","","Michael Thompson"
